batch,phrase,forecast_queries,traffic_volume,avg_bid_rub,charged_amount_rub,ctr_percent,impressions,clicks,budget_rub,region,period,platforms,currency,captured_at,source
1,кронштейн для телевизора купить,6834,9,76.30,14.20,0.89,2796,25,355.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора купить,6834,5,73.80,13.90,0.90,2785,25,347.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора на стену,26132,100,242.30,23.80,6.30,12318,776,18468.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора на стену,26132,85,89.00,16.10,6.05,12088,731,11769.10,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора на стену,26132,62,55.00,12.50,5.79,11899,689,8612.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора на стену,26132,9,110.10,15.60,0.48,8406,40,624.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора на стену,26132,5,103.20,15.30,0.47,8379,39,596.70,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора с поворотом и наклоном,24,100,200.40,11.30,14.29,21,3,33.90,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора с поворотом и наклоном,24,85,70.60,7.40,15.00,20,3,22.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора с поворотом и наклоном,24,62,65.10,6.60,11.76,17,2,13.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора с поворотом и наклоном,24,9,89.70,0.90,20.00,10,2,1.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора с поворотом и наклоном,24,5,89.70,0.90,20.00,10,2,1.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора цена,584,100,246.40,22.70,11.35,467,53,1203.10,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора цена,584,85,81.20,15.10,10.89,459,50,755.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора цена,584,62,53.10,11.00,10.44,450,47,517.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора цена,584,9,138.90,12.20,1.08,369,4,48.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора цена,584,5,138.90,12.20,1.08,369,4,48.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,наклонный кронштейн для телевизора,4652,100,293.80,22.00,7.58,2361,179,3938.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,наклонный кронштейн для телевизора,4652,85,94.50,14.20,7.27,2298,167,2371.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,наклонный кронштейн для телевизора,4652,62,53.20,11.20,7.04,2230,157,1758.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,наклонный кронштейн для телевизора,4652,9,163.10,21.30,0.79,1519,12,255.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,наклонный кронштейн для телевизора,4652,5,147.00,19.80,0.80,1506,12,237.60,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенное крепление для телевизора,1769,100,231.10,21.90,8.27,1476,122,2671.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенное крепление для телевизора,1769,85,83.80,13.80,7.94,1448,115,1587.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенное крепление для телевизора,1769,62,49.50,10.90,7.76,1417,110,1199.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенное крепление для телевизора,1769,9,102.50,12.80,0.84,947,8,102.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенное крепление для телевизора,1769,5,100.70,12.80,0.85,945,8,102.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенный кронштейн для телевизора,4592,100,298.80,25.50,9.40,2522,237,6043.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенный кронштейн для телевизора,4592,85,102.70,16.10,8.93,2485,222,3574.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенный кронштейн для телевизора,4592,62,59.00,12.10,8.46,2424,205,2480.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенный кронштейн для телевизора,4592,9,157.00,19.30,1.05,1330,14,270.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,настенный кронштейн для телевизора,4592,5,146.70,18.20,1.06,1324,14,254.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,поворотный кронштейн для телевизора,10558,100,244.30,20.50,6.26,4059,254,5207.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,поворотный кронштейн для телевизора,10558,85,93.40,14.70,6.10,4016,245,3601.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,поворотный кронштейн для телевизора,10558,62,57.50,12.30,5.95,3952,235,2890.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
1,поворотный кронштейн для телевизора,10558,9,106.00,12.80,0.68,2780,19,243.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.950Z,Яндекс Директ — Оценка бюджета кампании
